nombre_sensor,fecha_hora,valor_medicion
TEMP_SUELO_01,2026-06-01 01:00:00+00:00,13.94
TEMP_SUELO_02,2026-06-01 01:00:00+00:00,12.25
HUM_AMB_2M,2026-06-01 00:00:00+00:00,100.0
HUM_AMB_40CM,2026-06-01 00:00:00+00:00,95.76
HUM_SUELO_01,2026-06-01 00:00:00+00:00,66.44
HUM_SUELO_02,2026-06-01 00:00:00+00:00,46.92
HUM_SUELO_03,2026-06-01 00:00:00+00:00,49.64
HUM_SUELO_04,2026-06-01 00:00:00+00:00,52.56
LUZ,2026-06-01 00:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 00:00:00+00:00,9.09
TEMP_AMB_40CM,2026-06-01 00:00:00+00:00,9.37
TEMP_SUELO_01,2026-06-01 00:00:00+00:00,14.35
TEMP_SUELO_02,2026-06-01 00:00:00+00:00,12.62
HUM_AMB_2M,2026-05-31 23:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 23:00:00+00:00,95.48
HUM_SUELO_01,2026-05-31 23:00:00+00:00,67.0
HUM_SUELO_02,2026-05-31 23:00:00+00:00,47.12
HUM_SUELO_03,2026-05-31 23:00:00+00:00,50.0
HUM_SUELO_04,2026-05-31 23:00:00+00:00,52.96
LUZ,2026-05-31 23:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 23:00:00+00:00,8.92
TEMP_AMB_40CM,2026-05-31 23:00:00+00:00,9.29
TEMP_SUELO_01,2026-05-31 23:00:00+00:00,14.75
TEMP_SUELO_02,2026-05-31 23:00:00+00:00,13.12
HUM_AMB_2M,2026-05-31 22:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 22:00:00+00:00,95.19
HUM_SUELO_01,2026-05-31 22:00:00+00:00,67.32
HUM_SUELO_02,2026-05-31 22:00:00+00:00,47.52
HUM_SUELO_03,2026-05-31 22:00:00+00:00,50.28
HUM_SUELO_04,2026-05-31 22:00:00+00:00,52.96
LUZ,2026-05-31 22:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 22:00:00+00:00,9.48
TEMP_AMB_40CM,2026-05-31 22:00:00+00:00,9.87
TEMP_SUELO_01,2026-05-31 22:00:00+00:00,15.21
TEMP_SUELO_02,2026-05-31 22:00:00+00:00,13.73
HUM_AMB_2M,2026-05-31 21:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 21:00:00+00:00,93.94
HUM_SUELO_01,2026-05-31 21:00:00+00:00,68.64
HUM_SUELO_02,2026-05-31 21:00:00+00:00,48.04
HUM_SUELO_03,2026-05-31 21:00:00+00:00,50.96
HUM_SUELO_04,2026-05-31 21:00:00+00:00,53.8
LUZ,2026-05-31 21:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 21:00:00+00:00,10.56
TEMP_AMB_40CM,2026-05-31 21:00:00+00:00,10.96
TEMP_SUELO_01,2026-05-31 21:00:00+00:00,15.65
TEMP_SUELO_02,2026-05-31 21:00:00+00:00,14.44
HUM_AMB_2M,2026-05-31 20:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 20:00:00+00:00,92.83
HUM_SUELO_01,2026-05-31 20:00:00+00:00,69.52
HUM_SUELO_02,2026-05-31 20:00:00+00:00,48.92
HUM_SUELO_03,2026-05-31 20:00:00+00:00,51.88
HUM_SUELO_04,2026-05-31 20:00:00+00:00,54.76
LUZ,2026-05-31 20:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 20:00:00+00:00,12.47
TEMP_AMB_40CM,2026-05-31 20:00:00+00:00,12.94
TEMP_SUELO_01,2026-05-31 20:00:00+00:00,16.07
TEMP_SUELO_02,2026-05-31 20:00:00+00:00,15.2
HUM_AMB_2M,2026-05-31 19:00:00+00:00,99.36
HUM_AMB_40CM,2026-05-31 19:00:00+00:00,90.47
HUM_SUELO_01,2026-05-31 19:00:00+00:00,70.54
HUM_SUELO_02,2026-05-31 19:00:00+00:00,49.42
HUM_SUELO_03,2026-05-31 19:00:00+00:00,52.27
HUM_SUELO_04,2026-05-31 19:00:00+00:00,55.04
LUZ,2026-05-31 19:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 19:00:00+00:00,14.68
TEMP_AMB_40CM,2026-05-31 19:00:00+00:00,15.1
TEMP_SUELO_01,2026-05-31 19:00:00+00:00,16.34
TEMP_SUELO_02,2026-05-31 19:00:00+00:00,15.96
HUM_AMB_2M,2026-05-31 18:00:00+00:00,96.42
HUM_AMB_40CM,2026-05-31 18:00:00+00:00,87.48
HUM_SUELO_01,2026-05-31 18:00:00+00:00,72.24
HUM_SUELO_02,2026-05-31 18:00:00+00:00,50.36
HUM_SUELO_03,2026-05-31 18:00:00+00:00,53.04
HUM_SUELO_04,2026-05-31 18:00:00+00:00,56.0
LUZ,2026-05-31 18:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 18:00:00+00:00,17.29
TEMP_AMB_40CM,2026-05-31 18:00:00+00:00,17.78
TEMP_SUELO_01,2026-05-31 18:00:00+00:00,16.47
TEMP_SUELO_02,2026-05-31 18:00:00+00:00,16.9
HUM_AMB_2M,2026-05-31 17:00:00+00:00,84.93
HUM_AMB_40CM,2026-05-31 17:00:00+00:00,75.98
HUM_SUELO_01,2026-05-31 17:00:00+00:00,74.24
HUM_SUELO_02,2026-05-31 17:00:00+00:00,50.92
HUM_SUELO_03,2026-05-31 17:00:00+00:00,53.96
HUM_SUELO_04,2026-05-31 17:00:00+00:00,57.0
LUZ,2026-05-31 17:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 17:00:00+00:00,24.2
TEMP_AMB_40CM,2026-05-31 17:00:00+00:00,25.62
TEMP_SUELO_01,2026-05-31 17:00:00+00:00,16.07
TEMP_SUELO_02,2026-05-31 17:00:00+00:00,17.62
HUM_AMB_2M,2026-05-31 16:00:00+00:00,78.3
HUM_AMB_40CM,2026-05-31 16:00:00+00:00,68.56
HUM_SUELO_01,2026-05-31 16:00:00+00:00,74.84
HUM_SUELO_02,2026-05-31 16:00:00+00:00,51.0
HUM_SUELO_03,2026-05-31 16:00:00+00:00,53.96
HUM_SUELO_04,2026-05-31 16:00:00+00:00,57.0
LUZ,2026-05-31 16:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 16:00:00+00:00,29.44
TEMP_AMB_40CM,2026-05-31 16:00:00+00:00,31.61
TEMP_SUELO_01,2026-05-31 16:00:00+00:00,15.36
TEMP_SUELO_02,2026-05-31 16:00:00+00:00,16.87
HUM_AMB_2M,2026-05-31 15:00:00+00:00,73.29
HUM_AMB_40CM,2026-05-31 15:00:00+00:00,66.85
HUM_SUELO_01,2026-05-31 15:00:00+00:00,69.24
HUM_SUELO_02,2026-05-31 15:00:00+00:00,46.32
HUM_SUELO_03,2026-05-31 15:00:00+00:00,48.16
HUM_SUELO_04,2026-05-31 15:00:00+00:00,52.92
LUZ,2026-05-31 15:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 15:00:00+00:00,31.53
TEMP_AMB_40CM,2026-05-31 15:00:00+00:00,32.95
TEMP_SUELO_01,2026-05-31 15:00:00+00:00,14.46
TEMP_SUELO_02,2026-05-31 15:00:00+00:00,15.63
HUM_AMB_2M,2026-05-31 14:00:00+00:00,69.94
HUM_AMB_40CM,2026-05-31 14:00:00+00:00,64.46
HUM_SUELO_01,2026-05-31 14:00:00+00:00,71.64
